"listing_id","suburb","tipo","quartos","banheiros","camas","hospedes","dias_calendario","preco_medio","limpeza","min_noites","n_reviews","guest_favorite","instant_book","professional","superhost","star_rating","months_host"
"1977915","Meia Praia","apartamento","3","2","3","6","67","875.72","240","0","42","true","false","false","true","4.88","1"
"1181944920258781413","Centro","apartamento","1","1","1","2","87","391.1","150","0","17","false","true","true","false","4.71","1"
"1193347652334673191","Meia Praia","apartamento","3","3","3","6","66","958.71","200","0","12","true","false","true","true","5","5"
"1083196219974177016","Casa Branca","apartamento","2","1","3","4","57","333.75","200","0","1","false","false","false","false","5","11"
"31682871","Centro","apartamento","2","2","3","5","41","320.76","180","0","59","false","false","false","true","4.68","11"
"31069380","Meia Praia","apartamento","3","3","3","6","21","777.69","350","0","58","true","false","false","false","4.84","0"
"41762297","Sertaozinho","casa","6","3","12","16","96","1678.26","600","0","1","false","false","false","false","5","1"
"1272260793182499350","Morretes","apartamento","2","0","2","5","45","569.53","250","0","2","false","false","false","false","5","2"
"25918412","Meia Praia","apartamento","2","2","5","5","64","429.68","147","0","37","true","false","false","true","4.89","2"
"53008127","Meia Praia","apartamento","3","2","5","9","56","309.96","250","0","34","true","false","false","true","4.85","2"
"1249385754807434824","Centro","apartamento","1","1","2","4","78","601.57","190","0","7","false","true","true","false","4.57","1"
"742262889162653132","Sertaozinho","casa","1","1","2","2","56","177.02","100","0","14","false","true","false","false","4.71","0"
"1320994692912931266","Centro","apartamento","2","1","3","5","99","994","220","0","0","false","true","true","false","0","1"
"22810332","Meia Praia","apartamento","1","1","1","2","65","480.12","0","0","31","true","false","false","false","4.77","0"
"46222390","Meia Praia","apartamento","2","1","4","6","73","483.33","250","0","6","false","false","false","false","4.83","2"
"51861410","Varzea","casa","3","2","4","7","18","700","350","0","26","true","true","false","true","4.96","4"
"580407424598756855","Meia Praia","apartamento","3","2","3","10","23","446.23","270","0","11","true","false","false","true","5","11"
"767407262472265686","Meia Praia","apartamento","3","2","3","8","73","772.4","300","0","16","true","false","false","true","5","0"
"28071688","Meia Praia","apartamento","3","3","4","8","41","659.37","250","0","22","false","false","false","false","4.77","4"
"16586622","Meia Praia","apartamento","3","2","3","6","80","657.15","0","0","30","false","true","false","true","4.83","0"
"734843676958831992","Meia Praia","apartamento","2","2","2","6","32","453.12","200","0","64","true","true","false","false","4.77","3"
"47269826","Meia Praia","apartamento","3","3","3","7","12","702","400","0","28","true","false","false","true","5","7"
"22514231","Centro","apartamento","2","2","2","6","36","400","250","0","34","false","true","false","false","4.82","0"
"8287843","Meia Praia","apartamento","2","2","2","6","78","616.99","270","0","42","true","true","false","false","4.88","9"
"1233370107101543516","Centro","apartamento","1","1","2","3","60","408.44","160","0","10","true","true","true","false","5","1"
"21103807","Meia Praia","apartamento","5","4","8","10","71","1081.69","350","0","38","true","true","false","false","4.97","3"
"991407580891691701","Meia Praia","apartamento","3","2","3","6","67","670.52","439","0","11","false","true","true","false","4.55","1"
"32443120","Meia Praia","apartamento","2","2","2","5","13","512.4","250","0","12","true","true","false","false","4.92","10"
"1053625763515857065","Meia Praia","apartamento","2","2","0","5","72","494.8","250","0","11","true","false","false","true","4.82","0"
"840525492567265584","Centro","casa","4","3","7","11","44","1242.86","200","0","24","true","true","false","true","4.96","10"
