"listing_id","suburb","tipo","quartos","banheiros","camas","hospedes","n_noites","preco_medio","limpeza","min_noites","n_reviews","guest_favorite","instant_book","professional","superhost","star_rating","months_host"
"18506998","Centro","apartamento","2","2","3","4","41","373.49","180","0","29","true","false","false","true","5","5"
"807400945391416643","Centro","apartamento","4","3","6","12","78","711.77","250","0","39","true","false","false","true","4.9","8"
"942057172413556286","Meia Praia","outros","1","1","1","1","39","100","0","0","14","true","false","false","false","5","5"
"771134836709283777","Meia Praia","apartamento","3","2","3","8","15","357.8","250","0","10","false","true","false","false","4.2","3"
"49050392","Meia Praia","apartamento","3","2","3","8","138","741.3","150","0","44","true","false","false","false","4.95","0"
"35826155","Meia Praia","apartamento","2","2","3","6","20","590","250","0","32","false","false","false","true","4.91","6"
"21454457","Meia Praia","apartamento","2","1","2","5","29","211.66","320","0","57","true","false","false","true","4.81","2"
"1313064371372817918","Centro","apartamento","1","1","2","4","252","976.03","190","0","2","false","true","true","false","5","1"
"22335276","Canto da Praia","casa","3","3","3","8","67","713.11","0","0","21","true","false","false","false","4.95","0"
"29114516","Meia Praia","apartamento","3","2","4","5","81","364.57","200","0","33","true","false","false","false","4.91","3"
"753566944813003124","Centro","apartamento","1","2","2","3","199","571.06","200","0","15","true","true","false","true","4.93","10"
"732572931172602640","Alto Sao Bento","apartamento","1","2","1","4","63","291.43","0","0","14","false","false","false","false","4.86","1"
"801611117719633492","Meia Praia","apartamento","2","2","2","6","164","478.27","250","0","9","true","false","false","false","5","0"
"1207940918769840398","Centro","apartamento","1","1","1","2","195","399.23","150","0","2","false","true","true","false","5","1"
"850931966820064700","Meia Praia","apartamento","3","3","4","7","131","812.64","300","0","18","true","false","false","true","5","11"
"1004496327455456339","Morretes","apartamento","2","2","3","6","214","402.65","300","0","16","true","false","false","true","5","4"
"37487828","Meia Praia","apartamento","3","2","6","8","114","467.36","250","0","96","true","false","false","true","4.98","5"
"47783121","Centro","apartamento","2","2","4","6","122","458.42","250","0","9","true","false","false","false","4.89","11"
"1053851019443958006","Centro","apartamento","2","2","3","5","243","575.98","300","0","15","true","false","false","true","4.87","0"
"1266717192483343855","Meia Praia","apartamento","2","2","4","6","62","600","250","0","2","false","false","false","false","5","3"
"39145712","Morretes","apartamento","3","2","3","8","75","811.49","150","0","166","true","true","false","true","4.9","3"
"1249371220066552412","Centro","apartamento","1","1","2","4","180","598.26","180","0","12","true","true","true","false","4.92","1"
"15732070","Meia Praia","apartamento","3","3","4","6","100","769.67","240","0","40","false","false","false","true","4.95","2"
"26708551","Centro","apartamento","3","2","7","10","175","559.59","60","0","361","false","true","true","true","4.83","0"
"27910707","Centro","apartamento","3","3","3","6","81","1557.27","200","0","10","false","true","false","false","4.7","11"
"47909482","Meia Praia","apartamento","3","3","6","12","174","920.44","350","0","26","true","true","false","true","5","0"
"780872235421635957","Meia Praia","apartamento","2","2","3","7","44","515.24","180","0","7","true","false","false","false","5","9"
"40794806","none","casa","1","1","1","2","52","700.01","0","0","41","true","true","true","true","5","1"
"1320994692912931266","Centro","apartamento","2","1","3","5","248","1087.42","220","0","0","false","true","true","false","0","1"
"1153493820067017135","Centro","apartamento","2","2","3","4","144","405.35","357","0","4","false","true","true","false","5","0"
"769009482417170004","Morretes","apartamento","1","1","4","4","163","590.41","250","0","17","true","false","false","true","4.94","1"
"1066545050089987954","Meia Praia","apartamento","2","1","3","6","186","471.72","200","0","5","true","true","false","false","5","0"
"1271171762063321920","Tabuleiro dos Oliveiras","apartamento","2","2","2","5","56","581.25","250","0","5","true","false","false","false","4.8","10"
"32185033","Sertao do Trombudo","casa","4","4","8","15","104","1263.94","500","0","28","true","false","false","true","4.93","11"
"1181944920258781413","Centro","apartamento","1","1","1","2","216","391.51","150","0","17","false","true","true","false","4.71","1"
"1193347652334673191","Meia Praia","apartamento","3","3","3","6","169","959.23","200","0","12","true","false","true","true","5","5"
"39685785","Meia Praia","apartamento","2","2","2","7","169","540.04","220","0","125","true","false","false","true","4.94","2"
"31682871","Centro","apartamento","2","2","3","5","120","320.6","180","0","59","false","false","false","true","4.68","11"
"31069380","Meia Praia","apartamento","3","3","3","6","61","783.43","350","0","58","true","false","false","false","4.84","0"
"41762297","Sertaozinho","casa","6","3","12","16","160","1664.3","600","0","1","false","false","false","false","5","1"
"38616586","Meia Praia","apartamento","3","2","3","8","38","371.55","300","0","7","false","false","false","false","5","9"
"1272260793182499350","Morretes","apartamento","2","0","2","5","45","569.53","250","0","2","false","false","false","false","5","2"
"25918412","Meia Praia","apartamento","2","2","5","5","64","429.68","147","0","37","true","false","false","true","4.89","2"
"53008127","Meia Praia","apartamento","3","2","5","9","136","329.79","250","0","34","true","false","false","true","4.85","2"
"1249385754807434824","Centro","apartamento","1","1","2","4","192","600.57","190","0","7","false","true","true","false","4.57","1"
"742262889162653132","Sertaozinho","casa","1","1","2","2","56","177.02","100","0","14","false","true","false","false","4.71","0"
"673826204715344716","Meia Praia","apartamento","3","4","3","8","131","947.61","300","0","7","false","false","false","true","5","2"
"32766950","Centro","apartamento","2","2","4","6","48","320.83","250","0","11","false","false","false","false","4.82","0"
"39507664","Meia Praia","apartamento","4","3","4","8","84","428.3","275","0","50","true","false","false","true","4.84","2"
"22810332","Meia Praia","apartamento","1","1","1","2","168","480.05","0","0","31","true","false","false","false","4.77","0"
"46222390","Meia Praia","apartamento","2","1","4","6","73","483.33","250","0","6","false","false","false","false","4.83","2"
"43499385","Ilhota","apartamento","2","3","4","5","69","595.59","200","0","67","true","false","false","true","4.97","7"
"805381324514930766","Meia Praia","apartamento","3","2","6","8","32","783.31","380","0","59","true","false","false","true","4.98","3"
"767407262472265686","Meia Praia","apartamento","3","2","3","8","193","788.12","300","0","16","true","false","false","true","5","0"
"28071688","Meia Praia","apartamento","3","3","4","8","100","681","250","0","22","false","false","false","false","4.77","4"
"16586622","Meia Praia","apartamento","3","2","3","6","165","636.82","0","0","30","false","true","false","true","4.83","0"
"734843676958831992","Meia Praia","apartamento","2","2","2","6","32","453.12","200","0","64","true","true","false","false","4.77","3"
"22514231","Centro","apartamento","2","2","2","6","36","400","250","0","34","false","true","false","false","4.82","0"
"668715506986619718","Meia Praia","apartamento","3","3","4","8","113","641.14","320","0","17","true","false","false","true","4.94","6"
"837646263953285868","Meia Praia","apartamento","2","2","3","7","168","482.03","250","0","24","true","false","false","true","5","1"
"53794321","Meia Praia","apartamento","2","2","2","5","173","739.3","250","0","17","false","true","false","false","4.88","1"
"21103807","Meia Praia","apartamento","5","4","8","10","71","1081.69","350","0","38","true","true","false","false","4.97","3"
"1977915","Meia Praia","apartamento","3","2","3","6","159","864.38","240","0","42","true","false","false","true","4.88","1"
"32443120","Meia Praia","apartamento","2","2","2","5","13","512.4","250","0","12","true","true","false","false","4.92","10"
"1053625763515857065","Meia Praia","apartamento","2","2","0","5","72","494.8","250","0","11","true","false","false","true","4.82","0"
"840525492567265584","Centro","casa","4","3","7","11","106","1269.06","200","0","24","true","true","false","true","4.96","10"
